Model,Score
Intel Xeon Gold 6130T @ 2.10GHz,21804
Apple M1 Pro 10 Core 3200 MHz,21793
AMD Ryzen 9 5900HS,21783
AMD EPYC 7281,21621
Intel Xeon E7-8891 v3 @ 2.80GHz,21615
AMD EPYC 7551,21600
AMD Ryzen 5 5600,21585
Intel Core i9-10910 @ 3.60GHz,21582
Apple M2 Pro 10 Core 3480 MHz,21541
Intel Xeon Gold 6334 @ 3.60GHz,21521
AMD Ryzen 5 7640U,21517
Intel Core i5-13500TE,21478
Intel Core i5-12500H,21442
Intel Xeon Gold 5218T @ 2.10GHz,21433
AMD Ryzen 7 7735U,21431
Intel Core i9-11950H @ 2.60GHz,21419
Intel Xeon Gold 6136 @ 3.00GHz,21413
AMD Ryzen 9 5980HS,21320
Intel Core i5-12600,21312
Intel Xeon E5-2697A v4 @ 2.60GHz,21240
Intel Core i9-7900X @ 3.30GHz,21209
AMD Ryzen 7 5800HS Creator Edition,21166
AMD Ryzen 7 5800H,21091
Intel Core i7-11700F @ 2.50GHz,21075
Intel Core Ultra 5 125H,21031
Intel Xeon W-2155 @ 3.30GHz,21019
Intel Core i7-7900X @ 3.30GHz,21008
Intel Xeon Silver 4310T @ 2.30GHz,20973
AMD Ryzen 9 5900H,20960
Intel Xeon Gold 6250 @ 3.90GHz,20915
AMD Ryzen 7 PRO 6860Z,20901
AMD Ryzen 7 PRO 6850U,20887
Intel Core i5-13400T,20880
Intel Xeon E5-2686 v4 @ 2.30GHz,20873
Intel Xeon E5-2697R v4 @ 2.30GHz,20843
Intel Xeon Gold 5315Y @ 3.20GHz,20820
AMD Ryzen 5 PRO 5650G,20819
AMD EPYC 7262,20795
Intel Xeon E5-2697 v4 @ 2.30GHz,20765
AMD Ryzen 7 Pro 7735U,20753
Intel Xeon E5-2673 v4 @ 2.30GHz,20722
Intel Core i5-12500E,20699
Intel Core i7-11800H @ 2.30GHz,20675
Intel Core i7-11850H @ 2.50GHz,20669
Intel Core i9-11900H @ 2.50GHz,20668
AMD Ryzen 7 6800U,20665
Intel Xeon Gold 6138T @ 2.00GHz,20649
Intel Core i7-1280P,20645
Intel Xeon D-2753NT @ 2.00GHz,20626
Intel Xeon Silver 4216 @ 2.10GHz,20613
Intel Xeon W-2150B @ 3.00GHz,20549
Intel Core i5-12490F,20526
Intel Core i5-1350P,20472
AMD EPYC 7451,20471
AMD Ryzen 7 PRO 4750G,20467
Intel Xeon Gold 6130 @ 2.10GHz,20411
AMD Ryzen 5 5500GT,20392
Intel Xeon E5-2699 v3 @ 2.30GHz,20357
Intel Core i7-1370P,20320
Intel Xeon E5-4667 v4 @ 2.20GHz,20319
Intel Xeon D-1747NTE @ 2.50GHz,20279
Intel Core i5-1250P,20279
Intel Core Ultra 5 135U,20232
AMD Ryzen 7 5800HS,20227
AMD Ryzen 7 4700G,20151
Intel Xeon W-1290 @ 3.20GHz,20123
Intel Core i9-10900F @ 2.80GHz,20092
AMD Ryzen 5 5600GT,20064
Intel Core i9-9820X @ 3.30GHz,20045
Intel Core i5-1340PE,20041
Intel Xeon Gold 6144 @ 3.50GHz,19993
Intel Core i5-12500,19924
Intel Core i9-10900 @ 2.80GHz,19912
