Name,Image URL,Tags,CPU_Score,GPU_Score,Min. RAM (GB)
SCUM,https://cdn.cloudflare.steamstatic.com/steam/apps/513710/capsule_231x87.jpg,Survival;Open World,4170,5998,10
Sea of Thieves: 2024 Edition,https://cdn.cloudflare.steamstatic.com/steam/apps/1172620/capsule_231x87.jpg,Action;Adventure,3430,5242,8
Diablo  IV,https://cdn.cloudflare.steamstatic.com/steam/apps/242640/capsule_231x87.jpg,Action;RPG,3350,4047,8
eFootball  2024,https://cdn.cloudflare.steamstatic.com/steam/apps/1517280/capsule_231x87.jpg,Sports;Simulation,3375,4047,8
Lethal Company,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1966720/header.jpg?t=1700231592,Horror;Multiplayer,4433,5857,8
Palia,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2707930/header.jpg?t=1720812574,MMORPG;Simulation,3311,4047,8
Arma 3,https://cdn.cloudflare.steamstatic.com/steam/apps/107410/capsule_231x87.jpg,Simulation;Military,3311,3522,4
Factorio,https://cdn.cloudflare.steamstatic.com/steam/apps/427520/capsule_231x87.jpg,Simulation;Strategy,3000,0,4
Forza Horizon 5,https://cdn.cloudflare.steamstatic.com/steam/apps/1551360/capsule_231x87.jpg,Racing;Open World,3430,5857,8
V Rising,https://cdn.cloudflare.steamstatic.com/steam/apps/1604030/capsule_231x87.jpg,Survival;Multiplayer,4815,8975,12
